job_title,company_name,experience,salary,location,key_skills,about_company,job_descriptio
Software Developer II (Python),Advance Auto Parts4.2(45 Reviews),3 - 6 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
UnixAutomationData analysisLinuxEnterprise applicationsData structuresSDLCAnalyticsSQLPython","About Company
Remo Conference helps creators, coaches, and event organizers create immersive online events right from your computer Chrome browser where users can learn and connect with each other just like in real life. Remo is the first web-video platform that allows people to have face-to-face networking online just like in-person events that build meaningful relationships and conversations.
Company Info
Websitehttps://advanceauto.wd5.myworkdayjobs.com/en-US/AdvanceExternalCareers/job/Hyderabad-India/Software-Developer-II--Python-_R-0265718","Key Responsibilities:
Extend an existing Python platform that automatically analyzes large merchandising datasets and returns actionable insights to internal users in marketing and sales
Maintain production-readiness of existing codebase Write testable code and expand the testing framework
Build out a robust data pipeline that improves reliability and maintains a high degree of automation
Work with front-end engineers to help improve responsiveness and performance of the platform and pipeline
Collaborate with engineers and analysts across the organization to help integrate their efforts into the existing platform
Research and explore opportunities to continually improve existing architecture and analytics capabilities
Work with business stakeholders, project managers, business analysts, and other IT teams to understand the business needs and their requirements.
Work with a nimble team of software engineers and enterprise architects to ensure the solutions meet our business needs using Agile methodologies in a fast-paced environment.
Will often require to take a lead role in the entire development cycle, conduct design and code reviews, and have a heavy input throughout the process, from requirements to production deployment.
Able to shift between priorities as needed throughout the workday.
Create technical system specifications and ensure documentation remains current throughout all phases of the SDLC.
Raise up opportunities, enhancements, and process improvements. Communicate timely status, including any potential risks/issues of the assignments to management.
Research, design, define, develop, test, document and implement new service APIs or changes to existing services. Participate in test planning, development, and execution for integration and system testing.
Learn new software tools and skills as needed. Keep up with technologies. Provide mentoring to other development staff on technical topics.
Support and maintain applications utilizing required tools and technologies. Ensure applications are scalable and operate efficiently in the production environment.
Ability to research issues across multiple key systems and databases. Assist customers and team members on issue resolution and problem solving.
Participate in an on call rotation to provide system support outside of normal working hours.
Comfortable working in an open, dynamic, rapidly changing environment where collaboration is crucial.
Extended hours may require during peak workloads or special projects.
Must be self-motivated and take initiative.
Required Skills:
3+ years of experience in Python with emphasis on data analysis (Pandas, Pyspark)
Solid understanding of algorithms, functions, classes
Extensive experience with data structures: dictionaries, pandas dataframes
Experience with Pytest, unittests, and Test Driven Development process
Experience writing code in Python to intake and process data from relational databases
Experience usinig Pycharm IDE.
Experience using AWS, Docker, relational databases, SQL, Git
Experience developing and deploying applications in Linux environment
Experience using Unix command line and Bash/Shell/Python scripting to automate tasks, etc.
Experience working in an Agile/Scrum environment, JIRA, Confluence
Experience with either on-line or in-store retail selling applications
Experience with designing and conducting performance/stress tests on applications, analyzing and leveraging these results to improve application throughput and response time.
Exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, work with architects to come to an agreed technical approach, and lead development efforts to meet aggressive timelines with optimal solutions.
Ability to work collaboratively with or lead cross-functional teams with minimal supervision.
Ability to drive consensus within a team and influence outcomes in significant technical decision-making.
Excellent interpersonal, written and verbal communication skills to work with different business groups as well as IT partners (enterprise architects, vendors, etc.) at all levels within the organization.
Demonstrated critical thinking skills.
Extreme attention to detail and organization in all aspects of the system development. Enterprise level services/APIs often require every detail to be carefully designed and developed to achieve high availability, reliability, and scalability to meet our user s needs. Person in this role will often be writing real-time service APIs that are critical to business success.
A strong technical vision. Ability to understand, master, and be able to prototype with new technologies quickly. Person in this role needs to be able to quickly understand and solve unique and undocumented programming problems.
Open-minded, willing to consider multiple options, sources, perspectives, and possible solutions. Careful assessment of the importance, relevance, and validity of all options.
Inquisitive. Ask probing questions and research as a basis for making design decisions and judging quality; understand the true reason behind the request rather than just accepting an initial thought or proposed solution.
Proactive and willing to contribute ideas. Not afraid to ask questions.
Ability to effectively plan, organize and prioritize multiple streams of activity. Adapt well to changes.
Demonstrated ability to establish priorities, organize, and plan work to satisfy established timeframes; meet commitments and multi-task in a fast-paced work environment with a high-level of accuracy and efficiency.
Strong integration architecture experience with familiarity of the retail order management process.
Experience of developing low latency, highly available and scalable distributed systems in an environment with high volumes of transactions.
Experience of defining system architectures and designs, exploring technical feasibility tradeoffs, and making data-driven decisions.
Familiarity and experience with Snowflake Data Warehouse, Amazon Web Services, SQL-based database systems, and/or other enterprise data warehouse solutions.
Experience programming in languages such as SQL, Python, R and Spark."
NA,NA,NA,NA,NA,"Key Skills
DjangoMySQLPython
PostgresqlFast APISQL AchemyFlask
Skills highlighted with ‘‘ are preferred keyskills","Company Profile
Seneca Global IT Services
Company Profile

SenecaGlobal offers end-to-end software services and solutions to organizations seeking a trusted and strategic global outsourcing partner.
We help our clients realize significant cost savings through a broad range of technology solution areas including product development and maintenance, application development and maintenance, software testing, IT infrastructure support, Cloud Computing-AWS, DevOps, Microsoft Azure, iSeries - AS/400 solutions, Mobile Enterprise in Android, and iOS.
Our services provide improved productivity, decreased cost, and increased value over time. The services and solutions we deliver through our unique global delivery model provide our clients with the competitive edge they need to succeed. This accomplished team of business leaders possesses over 100 years of collective experience in global Information Technology Enterprise Solutions. This same team of leaders successfully built a $480 million IT services firm that catered to middle-market companies and independent software vendors worldwide.
Company Info",NA
Data Engineer - Python / Java,VITESTORK CONSULTING PRIVATE LIMITED,3 - 7 years,Not Disclosed,"Hyderabad/Secunderabad, Chennai","Key Skills
WirelessComputer scienceElectrical engineeringGITManagement systemsPostgresqlDebuggingSCALAEngineering projectsPython","About Company
ViteStork is a Consulting Talent Acquisition Recruitment company providing Services/Solutions to the Technology (IT), Knowledge Services, Healthcare, Banking and Financial Services sectors in India with more than 17 years of collective experience in End to End Recruitment Process. Our Leadership Team has several decades of collective working experiencewith Global Product Services Companies.Talent Acquisition Talent Development solutions like Executive Search (IT Non IT), Employer Branding Recruitment Advertising, Temp Staffing and Recruitment Process Outsourcing are key offerings of the company.
Company Info
Websitehttps://www.vitestork.com/jobdetails.aspx?jid=1126","Demonstrated ability with 3 to 7 years experience as a data engineer or experience working on data engineering projects/platforms. Strong programming experience using Python/Java/Scala Working experience with data warehouses, data pipelines, ETL tools, methodologies. Experience with SQL, wide variety of databases like PostgreSQL, Impala
  Good knowledge experience in distributed computing frameworks like Spark Good exposure in AWS, containerization technologies Good experience with source code management systems like GIT Capable of debugging complex issues across various ETL platforms, databases. Capable of tuning databases, SQL queries to meet performance objectives.
  Bachelor s degree in computer science, computer engineering or electrical engineering or equivalent technical background and experience
  Skills : Python / Java / Scala, ETL, AWS"
Software Development Engineer Applications Python Cloud AWS,VITESTORK CONSULTING PRIVATE LIMITED,2 - 6 years,Not Disclosed,"Hyderabad/Secunderabad, Chennai","Key Skills
WirelessComputer scienceDebuggingCloudProgrammingTroubleshootingAWSPython","About Company
ViteStork is a Consulting Talent Acquisition Recruitment company providing Services/Solutions to the Technology (IT), Knowledge Services, Healthcare, Banking and Financial Services sectors in India with more than 17 years of collective experience in End to End Recruitment Process. Our Leadership Team has several decades of collective working experiencewith Global Product Services Companies.Talent Acquisition Talent Development solutions like Executive Search (IT Non IT), Employer Branding Recruitment Advertising, Temp Staffing and Recruitment Process Outsourcing are key offerings of the company.
Company Info
Websitehttps://www.vitestork.com/jobdetails.aspx?jid=1128","2 - 4 years of application experience.
Familiar with several programming languages including Python.
Experience with software development, debugging and troubleshooting.
Excellent verbal and written communication skills.
Bachelor s Degree in Computer Science, Computer Engineering or other relevant technical field with equivalent experience.
Ability to travel up to 10%.
  Skills : Python, Cloud, AWS"
Python Automation Developer,Acesoft Labs (India) Pvt Ltd,3 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Mumbai (All Areas)View More","Key Skills
LinuxOpenstackPython
Skills highlighted with ‘‘ are preferred keyskills","About Company
www.acesoftlabs.com","Job Description


Responsibilities:

Looking for Python Automation Developers hands on with file systems, storage and cloud technology for data protection solution. You should also have an eye for great design and a knack for pushing projects from conception all the way to customers.

design and develop data protection solutions using the latest technologies. Will own product quality and overall customer experience.

productively work in a highly collaborative agile team, actively participate in knowledge sharing all while communicating across teams in a multinational environment.
3+ years of relevant experience in Python Automation with Rest API

Knowledge of file systems, storage and cloud technologies, emerging standards and engineering best practices

Strong communication skills, both oral and written

Designs, develops and maintains high quality code for product components, focusing on implementation.

Solid knowledge of algorithms and design patterns

Mastered the fundamentals of programming and/or debugging skills in Python

Working knowledge of API fundamentals and best practices

Skills with Office Application Suite both in use and automation

Knowledge of databases and SQL

Knowledge of operating Systems LINUX/UNIX, Object Oriented • Agile Process

Strong problem solving and organizational skills

Preferred Skills(not mandatory )

Knowledge and experience with OpenStack, Hadoop or Cassandra

Experience working with tools like Jasmine, Karma, Gulp, Grunt and Protractor

Experience in Agile development methodologies including unit testing and TDD (test-driven development)

Working knowledge of delivering into cloud based environments using standard CI/CD tools (Jenkins, Artifactory, Spinnaker, SonarQube) and best practices

Knowledge of cloud IaaS/PaaS and Microservices design a plus

Share profiles to Due to privacy it is removed it"
Big Data Engineer (python/ java scala/hive),Ziolite,2 - 7 years,Not Disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCRView More","Key Skills
Big Data
Data ValidationJavaHivescalaPySparkHadoopSparkPerformance TuningPython
Skills highlighted with ‘‘ are preferred keyskills","About Company
Leading Client
Company Info
Address.","Data Ingestion from source to target
Develop Python code or PySpark code or Python+SnowSQL or Python+ReshsiftSQL (Depending of customer choice of target platform)
Data Validation
Performance Tuning.
Design and implement solutions for problems arising out of large-scale data processing
Attend/drive various architectural, design and status calls with multiple stakeholders
Ensure end-to-end ownership of all tasks being aligned
Design, build & maintain efficient, reusable & reliable code
Test implementation, troubleshoot & correct problems
Capable of working as an individual contributor and within team too
Ensure high quality software development with complete documentation and traceability
Fulfil organizational responsibilities (sharing knowledge & experience with other teams/ groups)
Conduct technical training(s)/session(s), write whitepapers/ case studies/blogs etc."
NA,NA,NA,NA,NA,"Key Skills
DevopsPython
cloudSoftware Development
Skills highlighted with ‘‘ are preferred keyskills","Company Profile
Xoriant
Xoriant Corporation is a product engineering and services company, serving technology startups as well as mid-size to large corporations. We offer a flexible blend of onsite, offsite and offshore services from our Global delivery centers ( Sunnyvale, New Jersey, Mumbai, Pune, Gurgaon, Kolkata and Bangalore) with over 2000 software professionals. Xoriant has deep client relationships spanning over 25 years with various clients ranging from startups to Fortune 100 companies.

At Xoriant, our expertise in emerging technologies drives our growth. Our focus on building technology practices in Digital, Cloud, Analytics, DevOps and Security provides excellent opportunities for advanced technical learning and career progression. Xoriant was voted in the Top 50 Best Information Technology Companies to work for in India €“ 2016 by the Great Place to Work Institute and is proud to be known as one of the few CMMI level companies who focus on emerging technologies.

Read our Blog
http://www.xoriant.com/blog
Company Info",NA
NA,NA,NA,NA,NA,"Key Skills
AutomationNetworkingPython
switchingrouting protocolsBgp
Skills highlighted with ‘‘ are preferred keyskills","Company Profile
Xoriant
Xoriant Corporation is a product engineering and services company, serving technology startups as well as mid-size to large corporations. We offer a flexible blend of onsite, offsite and offshore services from our Global delivery centers ( Sunnyvale, New Jersey, Mumbai, Pune, Gurgaon, Kolkata and Bangalore) with over 2000 software professionals. Xoriant has deep client relationships spanning over 25 years with various clients ranging from startups to Fortune 100 companies.

At Xoriant, our expertise in emerging technologies drives our growth. Our focus on building technology practices in Digital, Cloud, Analytics, DevOps and Security provides excellent opportunities for advanced technical learning and career progression. Xoriant was voted in the Top 50 Best Information Technology Companies to work for in India €“ 2016 by the Great Place to Work Institute and is proud to be known as one of the few CMMI level companies who focus on emerging technologies.

Read our Blog
http://www.xoriant.com/blog
Company Info",NA
Network Python Developer,Prodapt Solutions3.8(362 Reviews),3 - 6 years,Not Disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Key Skills
Python scripting
JavaFTPPyATSHTTPSSLJiraPyTestJenkinsBackend SQLTCP/IPRobo FrameworkBamboo
Skills highlighted with ‘‘ are preferred keyskills","About Company
Prodapt is a two-decade-old consulting & managed services provider, singularly focused on the telecom/DSP industry. Prodapt helps clients transform their IT, products, operations, and networks to meet their strategic objectives. Prodapt provides end-to-end IT/software architecture consulting, application development, systems integration, testing, and maintenance & support. Prodapt provides insights and thought leadership-led transformation services leveraging next-gen technologies such as Robotic Process Automation (RPA)), Artificial Intelligence/Machine Learning (AI/ML) Software Defined Networks / Network Function Virtualization (SDN/NFV) and next-gen OSS/BSS systems. Prodapt’s business consulting team provides Six Sigma process improvement and automation/RPA consulting services to telecom operations teams.
Company Info
Websitehttp://careers.prodapt.com
Contact PersonHR","Roles and Responsibilities
Senior Python Developer responsibilities include participating in all phases of the software development lifecycle and coaching junior developers. If you are a seasoned developer with a love for back-end technologies, we'd like to meet you. Your ultimate goal is to create high-quality products that meet customer needs.

Desired Candidate Profile
Candidate with minimum 4 years of Strong experience in Python scripting + Networking.
Strong understanding of networking protocols - TCP/IP, FTP, HTTP/SSL,HTTP
Good to have experience in writing automation of test cases using PyATS,PyTest or Robo Framework
Knowledge with Jenkins, Jira, Bamboo or other CI orchestration systems
Working knowledge of Java & Backend SQL
knowledge in Web security or web gateway product domain experience"
Python Developer,Aparajita Consultancy Services,3 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Key Skills
Python
Jinja 2DjangoPython DeveloperFlask
Skills highlighted with ‘‘ are preferred keyskills","About Company
ACS today primarily focuses on delivering turnkey IT projects for its customers and handling complex IT requirements by providing wise solutions to its customers as time often trades for money while our customers have projects to deliver within a short notice.
Company Info
Address.","Bachelor's degree in computer science, computer engineering, or related field.
3-5 years of experience as a Python developer.
Expert knowledge of Python and related frameworks including Django and Flask.
A deep understanding and multi-process architecture and the threading limitations of Python.
Familiarity with server-side templating languages including Jinja 2 and Mako.
Ability to integrate multiple data sources into a single system.
Familiarity with testing tools.
Ability to collaborate on projects and work independently when required."
Python Programming Language Application Developer,Accenture4.2(29745 Reviews),4 - 6 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
Database designMySQLConsultingOraclePython
Business processFront endDjangoPostgresql
Skills highlighted with ‘‘ are preferred keyskills","About Company
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at accenture.com
Company Info
AddressPlant 3,Godrej and Boyce Compound, MUMBAI, Maharashtra, India","Project Role : Application Developer
Project Role Description : Design, build and configure applications to meet business process and application requirements.
Management Level : 10
Work Experience : 4-6 years
Work location : Hyderabad
Job Requirements :

Key Responsibilities : 1 Creating and consuming Fast APIs 2 Designing Data base, tables and models

Technical Experience : 1 Minimum 6 years of python experience coupled with any web frameworks like Django, Flask etc 2 Strong REST API expertise Both consuming and creating APIs which are scalable 3 Minimum 4 years of relational database design and modeling with any of MySQL, Postgres, SQL server, Oracle etc

Professional Attributes : 1 Excellent interpersonal and communication skills 2 Effectively communicate data insights or trends to stakeholders 3 Participate in architecture discussions, influence the road map, take ownership and responsibility of new projects

Educational Qualification : BE or B Tech or MCA equivalent 4 year degree or PG in computers Preferred experience with front end"
